	TS10-1		TS20-1		TS20-3		TS30-1		TS30-2		TS40-2		TS40-3		TS50-1		TS50-2		TS50-4		TS60-1		TS60-2		TS70-1		TS70-2		TS70-4		TS80-1		TS80-3		TS80-4		TS90-1		TS90-2
Sequence	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings
BasketballPass 	0.00237	0.145 	0.00570	0.209 	0.00994	0.244 	0.02004	0.295 	0.02069	0.341 	0.02908	0.440 	0.02992	0.439 	0.03184	0.523 	0.03317	0.528 	0.03390	0.544 	0.04316	0.626 	0.04022	0.646 	0.06153	0.722 	0.06380	0.725 	0.08063	0.752 	0.24835	0.835 	0.49978	0.896 	0.51878	0.898 	0.58793	0.920 	0.60576	0.922 
BlowingBubbles 	0.00375	0.132 	0.00606	0.200 	0.01153	0.215 	0.01913	0.270 	0.01847	0.299 	0.02375	0.394 	0.02292	0.385 	0.04032	0.472 	0.04082	0.473 	0.04060	0.493 	0.06734	0.570 	0.11856	0.605 	0.13082	0.695 	0.13421	0.699 	0.13967	0.712 	0.25797	0.794 	0.47458	0.870 	0.49012	0.872 	0.60416	0.903 	0.61547	0.905 
RaceHorsesC 	0.00321	0.160 	0.01152	0.279 	0.01091	0.234 	0.01564	0.285 	0.01595	0.310 	0.02719	0.439 	0.02375	0.389 	0.04089	0.508 	0.04008	0.483 	0.04250	0.525 	0.07307	0.594 	0.11700	0.632 	0.13274	0.718 	0.13568	0.721 	0.13800	0.729 	0.27681	0.814 	0.59723	0.872 	0.60564	0.873 	0.68821	0.903 	0.67618	0.904 
BQMall 	0.00753	0.124 	0.01299	0.203 	0.01503	0.222 	0.01893	0.288 	0.02286	0.294 	0.02834	0.403 	0.02881	0.394 	0.04843	0.485 	0.04993	0.485 	0.05225	0.506 	0.07197	0.585 	0.08734	0.609 	0.10984	0.694 	0.11214	0.710 	0.11707	0.730 	0.29810	0.812 	0.60937	0.876 	0.62404	0.878 	0.72241	0.898 	0.74628	0.907 
Slideshow 	0.00148	0.143 	0.04686	0.213 	0.00233	0.268 	0.00664	0.355 	0.00609	0.397 	0.05346	0.520 	0.01008	0.523 	0.05266	0.606 	0.00835	0.620 	0.05305	0.631 	0.05230	0.715 	0.01926	0.704 	0.02217	0.753 	0.01954	0.759 	0.02099	0.801 	0.10945	0.881 	0.44413	0.943 	0.45022	0.946 	0.50873	0.951 	0.52665	0.954 
BasketballDrillText 	0.00315	0.160 	0.01705	0.238 	0.00836	0.251 	0.01154	0.316 	0.01079	0.346 	0.01968	0.455 	0.01482	0.440 	0.05337	0.527 	0.04660	0.522 	0.05416	0.547 	0.08860	0.619 	0.09545	0.634 	0.11093	0.714 	0.11851	0.717 	0.14409	0.736 	0.25196	0.823 	0.60974	0.883 	0.61581	0.885 	0.70100	0.911 	0.71433	0.913 
Johnny 	0.00193	0.111 	0.01124	0.149 	0.00717	0.236 	0.01278	0.324 	0.01551	0.366 	0.01482	0.473 	0.01994	0.495 	0.02580	0.564 	0.02729	0.584 	0.03041	0.589 	0.04331	0.680 	0.08213	0.657 	0.10309	0.723 	0.10697	0.729 	0.11638	0.780 	0.17509	0.867 	0.33211	0.931 	0.33709	0.934 	0.38170	0.943 	0.38566	0.946 
FourPeople 	0.00059	0.113 	0.00830	0.149 	0.00435	0.238 	0.00753	0.327 	0.00698	0.368 	0.01500	0.472 	0.01007	0.495 	0.02433	0.564 	0.02256	0.583 	0.02406	0.590 	0.03466	0.680 	0.03775	0.664 	0.05108	0.726 	0.05198	0.732 	0.05909	0.778 	0.12586	0.867 	0.21568	0.930 	0.22806	0.934 	0.27218	0.942 	0.27991	0.946 
BasketballDrive 	0.00208	0.116 	0.01223	0.240 	0.00370	0.218 	0.00578	0.293 	0.00628	0.322 	0.01286	0.475 	0.00897	0.428 	0.01895	0.546 	0.01464	0.520 	0.02005	0.564 	0.03455	0.633 	0.06289	0.628 	0.06959	0.712 	0.07437	0.715 	0.07062	0.746 	0.12752	0.831 	0.27305	0.892 	0.28527	0.894 	0.38804	0.913 	0.38947	0.916 
ParkScene 	0.00458	0.115 	0.00981	0.170 	0.00741	0.221 	0.01300	0.294 	0.01314	0.326 	0.01823	0.435 	0.01548	0.438 	0.02623	0.517 	0.02366	0.525 	0.02696	0.539 	0.04483	0.620 	0.09270	0.616 	0.10273	0.702 	0.10448	0.705 	0.09973	0.743 	0.19956	0.824 	0.31509	0.897 	0.31940	0.899 	0.39575	0.918 	0.39951	0.920 
Traffic 	0.00207	0.114 	0.00632	0.155 	0.00556	0.227 	0.01077	0.302 	0.01091	0.339 	0.01556	0.440 	0.01386	0.455 	0.03605	0.527 	0.03524	0.542 	0.03631	0.549 	0.06769	0.635 	0.13127	0.625 	0.14989	0.706 	0.14992	0.710 	0.15807	0.753 	0.29054	0.837 	0.53791	0.904 	0.54596	0.906 	0.58493	0.923 	0.59532	0.925 
PeopleOnStreet 	0.00290	0.123 	0.00914	0.234 	0.00797	0.207 	0.01156	0.264 	0.01275	0.296 	0.01969	0.422 	0.01841	0.384 	0.02831	0.501 	0.02739	0.483 	0.02909	0.521 	0.03963	0.598 	0.03852	0.630 	0.05320	0.718 	0.05664	0.719 	0.06108	0.735 	0.15188	0.821 	0.34151	0.881 	0.34614	0.884 	0.41700	0.905 	0.42280	0.907 
